category,brand,name,price,image,description
腕時計,SEIKO,セイコー クロノグラフ,15000,https://example.com/seiko.jpg,高精度クロノグラフ搭載の人気モデル
腕時計,CASIO,カシオ G-SHOCK,12000,https://example.com/gshock.jpg,耐衝撃性に優れた定番G-SHOCK
掛け時計,CITIZEN,シチズン 壁掛け時計,8000,https://example.com/citizen.jpg,シンプルで見やすい壁掛け時計
カメラ,CANON,キヤノン EOS R10,98000,https://example.com/eos.jpg,最新のAPS-Cミラーレスカメラ
カメラ,Nikon,ニコン D7500,85000,https://example.com/nikon.jpg,高性能一眼レフカメラ
バッグ,GUCCI,グッチ GGキャンバスバッグ,120000,https://example.com/gucci.jpg,高級感あふれる定番バッグ
バッグ,PRADA,プラダ ナイロンショルダー,95000,https://example.com/prada.jpg,軽量で実用的な人気モデル
家電,Panasonic,パナソニック 炊飯器,30000,https://example.com/ricecooker.jpg,高機能IH炊飯ジャー
家電,SONY,ソニー ワイヤレスイヤホン,18000,https://example.com/earphones.jpg,ノイズキャンセリング対応
家電,SHARP,シャープ 空気清浄機,25000,https://example.com/aircleaner.jpg,花粉・ウイルス対策に最適
